CITY,LAT,LNG
Klana,45.4444467,14.3743376
Bakar,45.3071461,14.5342673
Kanfanar,45.1228399,13.8384985
Pag,44.4966129,14.9461853
Drenova,45.3525337,14.4297354
Tribalj,45.2231439,14.6783868
Radetici,45.1655761,13.807981
Prezid,45.6369972,14.5782552
Kraljevica,45.2736336,14.5702723
Matulji,45.3637986,14.3241057
Klenovica,45.1027535,14.8457182
Motovun,45.3367292,13.8282067
Hreljin,45.2840364,14.5989301
Krk,45.0901954,14.5496681
Pula,44.8702281,13.8455311
Baska,44.9709329,14.7508013
Njivice,45.1588133,14.5395314
Skrad,45.4332541,14.9059561
Rovinj,45.0807411,13.6417282
Radovani,45.2504633,13.744803
Mrkopalj,45.3154497,14.8557128
Funtana,45.1745816,13.6052853
Mali Losinj,44.531663,14.4694205
Radosi,45.2210988,13.6578424
Boljun,45.3019621,14.1213576
Prempen,45.15222,14.86333
Vodnjan,44.9589555,13.8513371
Opatija,45.332782,14.3029538
Punat,45.0195884,14.631247
Rabac,45.0804894,14.1530529
Tar,45.2999319,13.6262747
Kastav,45.3731673,14.3487225
Lupoglav,45.3519805,14.1088008
Fuzine,45.3046471,14.7135873
Bale,45.041053,13.786641
Kampor,44.7768332,14.7279432
Porec,45.2273829,13.5956941
Cres,44.8890769,14.383259
Buje,45.4083025,13.6588349
Jadranovo,45.2266115,14.6157613
Fazana,44.9273327,13.8050769
Selce,45.1582241,14.7206658
Delnice,45.3991761,14.8020393
Supetarska Draga,44.7954875,14.7304429
Pazin,45.2391995,13.9363313
Cernik,45.3522868,14.4946827
Medulin,44.821786,13.9367142
Ogulin,45.2668211,15.2250286
Kukuljanovo,45.3264757,14.5227691
Radmani,45.2018779,13.6833586
Lopar,44.8299167,14.7312832
Vrsar,45.1490782,13.6063472
Crikvenica,45.1737049,14.6927906
Buzet,45.4078767,13.9655905
Podhum,45.3900903,14.4780274
Drazice,45.3889312,14.4659426
Banjol,44.7533091,14.77446
Umag,45.4323587,13.5224098
Rab,44.7756866,14.7347122
Vrbovsko,45.3740037,15.0781121
Bribir,45.1618724,14.7608879
Novi Vinodolski,45.1270044,14.7914067
Vrbnik, 45.0757279,14.6744188
Predosljica,45.04139,14.37194
Karojba,45.3043468,13.8220017
Volosko,45.3483902,14.3200644
Kostrena,45.2981626,14.510908
Rijeka,45.3271752,14.4412309
Premantura,44.8021166,13.9111814
Labin,45.0913954,14.1236014
Hum,45.348526,14.0503632
Novigrad,45.3168509,13.5649454
Racice,45.3541699,13.9844129
